THD,material,batch_size,Flush(GB),Cumulative compaction write size,Cumulative compaction write throughput,Cumulative compaction read size,Cumulative compaction read throughput,Cumulative compaction time,Interval compaction write size,Interval compaction write throughput,Interval compaction read size,Interval compaction read throughput,Interval compaction time,level0_slowdown,level0_slowdown_with_compaction,level0_numfiles,level0_numfiles_with_compaction,stop for pending_compaction_bytes,slowdown for pending_compaction_bytes,memtable_compaction,memtable_slowdown,total_write_op,total_write_size(MB),rocksdb.block.cache.miss,rocksdb.block.cache.hit,rocksdb.block.cache.add,rocksdb.db.mutex.wait.micros,read_latency_level0_Count,read_latency_level0_Average,read_latency_level0_StdDev,read_latency_level1_Count,read_latency_level1_Average,read_latency_level1_StdDev,read_latency_level2_Count,read_latency_level2_Average,read_latency_level2_StdDev,read_latency_level3_Count,read_latency_level3_Average,read_latency_level3_StdDev,read_latency_level4_Count,read_latency_level4_Average,read_latency_level4_StdDev,read_latency_level5_Count,read_latency_level5_Average,read_latency_level5_StdDev,read_latency_level6_Count,read_latency_level6_Average,read_latency_level6_StdDev
1,PM,512MB,114.636,1005.69,268.23,922.74,246.11,3542.8,55.97,239.57,55.32,236.79,198.2,0,0,0,0,0,0,0,0,1000M,124928.0,254083300,1255,10488522,0, 30313642, 0.8772, 2.30, 58345260, 0.8372, 2.82, 146325433, 0.8409, 2.76, 19100869, 1.2525, 3.10,0,0,0,0,0,0,0,0,0
1,PM,64MB,115.43,1280.5,309.87,1203.72,291.29,4582.7,0.39,12.59,0.39,12.7,1.3,291,120,0,0,0,1235,0,0,1000M,124928.0,328220779,2064,10505753,0, 30647312, 0.9531, 0.79, 64321105, 0.8225, 1.19, 162214297, 0.8453, 1.02, 71135633, 0.9981, 1.13,0,0,0,0,0,0,0,0,0
20,PM,128MB,115.296,1441.87,444.82,1361.99,420.17,6105.3,127.39,408.59,123.32,395.55,540.6,0,0,0,0,0,0,0,0,1000M,124928.0,369701977,1352,10230064,0, 31605974, 0.9241, 1.70, 57980824, 0.8747, 1.75, 158669872, 0.8993, 1.44, 118900862, 0.9855, 3.27,0,0,0,0,0,0,0,0,0
20,PM,512MB,114.637,1017.65,270.93,934.36,248.75,3605.9,58.36,242.62,56.93,236.69,210.8,0,0,0,0,0,0,0,0,1000M,124928.0,257043303,1091,10381317,0, 30261985, 0.8916, 4.75, 60247659, 0.8331, 3.57, 147427177, 0.8443, 3.76, 19091439, 1.2401, 3.54,0,0,0,0,0,0,0,0,0
20,PM,64MB,115.43,1523.05,485.46,1438.1,458.39,6761.5,76.1,366.62,74.68,359.8,350.2,0,0,0,0,0,0,0,0,1000M,124928.0,390019473,1556,10562831,0, 31125282, 0.9965, 2.08, 60783814, 0.9294, 2.64, 132569061, 0.9772, 1.18, 153888975, 0.9770, 2.84, 8446144, 1.6544, 10.73,0,0,0,0,0,0
4,PM,128MB,115.296,1456.83,445.74,1376.83,421.26,5445.9,133.22,393.43,128.83,380.46,498.5,0,0,0,0,0,0,0,0,1000M,124928.0,373818236,1324,10423923,0, 31149036, 0.9181, 1.27, 56061369, 0.8786, 1.43, 178191406, 0.8758, 1.44, 107986151, 0.9644, 1.53,0,0,0,0,0,0,0,0,0
4,PM,512MB,114.637,1032.46,275.82,949.15,253.57,3642.7,55.22,242.74,53.72,236.12,198.5,0,0,0,0,0,0,0,0,1000M,124928.0,260956645,1132,10386405,0, 30258172, 0.8784, 2.78, 59745309, 0.8371, 3.05, 151437177, 0.8475, 3.23, 19498958, 1.2452, 3.25,0,0,0,0,0,0,0,0,0
4,PM,64MB,115.43,1570.75,502.59,1485.92,475.45,5945.5,74.25,379.66,73.41,375.36,281.8,0,0,0,0,0,0,0,0,1000M,124928.0,402653398,1764,10582122,0, 33227664, 0.9458, 1.54, 56653533, 0.8951, 1.31, 170362618, 0.9041, 1.14, 134564516, 0.9299, 1.38, 7339570, 1.6226, 1.71,0,0,0,0,0,0
1,SATAHDD,128MB,115.296,998.86,84.41,919.35,77.69,14051.2,12.01,104.47,13.31,115.77,111.8,457,124,0,0,0,1765,33,0,1000M,124928.0,253739851,1830,10961811,0, 30954525, 1.1927, 4.64, 63310339, 1.0102, 2.93, 131522363, 1.0303, 2.68, 27984840, 1.2928, 3.32,0,0,0,0,0,0,0,0,0
1,SATAHDD,512MB,114.637,689.97,105.3,605.97,92.48,8441.2,11.19,104.91,11.07,103.75,101.5,22,20,0,0,0,225,3,0,1000M,124928.0,171166407,1314,10498192,0, 30633484, 0.9696, 13.25, 59496493, 0.8741, 6.77, 81036346, 0.9930, 5.59,0,0,0,0,0,0,0,0,0,0,0,0
1,SATAHDD,64MB,115.43,1167.13,85.51,1089.88,79.85,15663.7,15.8,92.08,16.47,96.01,176.2,2096,303,0,0,0,3470,54,0,1000M,124928.0,299113927,3403,11422442,0, 31617117, 1.3483, 1.84, 64586425, 1.1315, 2.20, 147688172, 1.1619, 15.83, 55315779, 1.2933, 2.16,0,0,0,0,0,0,0,0,0
20,SATAHDD,128MB,115.296,985.25,116.62,902.98,106.88,83768.6,29.36,119.71,29.11,118.71,2962.3,24,24,0,0,0,149,1172,0,1000M,124928.0,250218343,1592,10958245,0, 69586615, 1.4966, 45.97, 48032771, 0.9683, 3.42, 45317306, 1.7692, 75.88, 84471742, 1.7177, 22.70,0,0,0,0,0,0,0,0,0
20,SATAHDD,512MB,114.637,755.76,96.61,669.51,85.59,46248.5,24.37,119.3,24.76,121.21,1583.0,0,0,0,0,0,91,167,0,1000M,124928.0,188201154,1137,10547730,0, 52865385, 1.3659, 33.84, 43226870, 0.9115, 6.66, 76194759, 1.2582, 21.09, 14568935, 1.6865, 287.10,0,0,0,0,0,0,0,0,0
20,SATAHDD,64MB,115.43,1009.35,108.01,922.4,98.71,88444.2,45.25,81.49,46.37,83.52,6478.4,196,196,0,0,0,114,2748,0,1000M,124928.0,255273608,2028,10759995,0, 77738735, 1.6064, 30.91, 51458956, 6.5113, 56.86, 28413013, 2.4728, 145.28, 88425063, 5.8984, 13.73, 6756396, 3.4072, 614.31,0,0,0,0,0,0
4,SATAHDD,128MB,115.296,956.07,110.52,876.64,101.34,28199.2,56.74,127.21,56.19,125.97,1475.9,23,16,0,0,0,1495,628,0,1000M,124928.0,242240060,1769,10685797,0, 66439048, 1.0419, 16.51, 52689132, 0.9441, 2.81, 55699434, 1.1503, 37.57, 67155373, 1.1657, 63.31,0,0,0,0,0,0,0,0,0
4,SATAHDD,512MB,114.637,713.92,125.6,627.41,110.38,15879.7,55.63,135.45,54.6,132.94,1325.8,0,0,0,0,0,209,51,0,1000M,124928.0,177156898,1275,10728289,0, 51952798, 0.9918, 74.14, 45742746, 0.8927, 5.94, 66937678, 0.9793, 47.28, 12268214, 1.5450, 203.11,0,0,0,0,0,0,0,0,0
4,SATAHDD,64MB,115.43,1125.52,123.37,1048.28,114.9,29709.6,36.53,109.4,36.32,108.78,1005.5,924,693,0,0,0,3048,1156,0,1000M,124928.0,287086891,1396,10375006,0, 65477189, 1.1043, 28.53, 54961155, 1.0382, 31.04, 78083037, 1.1797, 48.60, 88292794, 1.2254, 25.11,0,0,0,0,0,0,0,0,0
1,SATASSD,128MB,115.296,1034.69,152.97,955.48,141.26,7974.7,49.88,156.62,50.25,157.78,344.8,207,93,0,0,0,1137,1,0,1000M,124928.0,262520919,1352,10281951,0, 30374928, 1.0327, 2.24, 63657341, 0.9001, 2.63, 137577850, 0.9198, 2.37, 30943507, 1.1980, 2.52,0,0,0,0,0,0,0,0,0
1,SATASSD,512MB,114.636,793.32,189.33,709.56,169.34,4851.2,14.6,164.97,15.13,171.03,81.4,0,0,0,0,0,96,0,0,1000M,124928.0,198248962,1457,10541171,0, 30674401, 0.9196, 5.37, 59049142, 0.8479, 4.41, 108445960, 0.9391, 4.75, 69666, 1.8939, 10.62,0,0,0,0,0,0,0,0,0
1,SATASSD,64MB,115.43,1193.08,120.74,1116.08,112.95,11509.0,67.7,133.69,67.19,132.67,556.6,1885,248,0,0,0,2813,0,0,1000M,124928.0,305197598,1867,10521127,0, 30624155, 1.1973, 1.61, 64530772, 1.0257, 1.97, 151407272, 1.0527, 1.81, 58724764, 1.1968, 1.96,0,0,0,0,0,0,0,0,0
20,SATASSD,128MB,115.296,1080.98,235.37,999.14,217.55,42465.0,132.21,269.26,127.24,259.14,4898.7,0,0,0,0,0,47,812,0,1000M,124928.0,275838608,1981,10787639,0, 66560920, 1.1658, 23.24, 47517986, 0.9858, 33.26, 63667844, 1.3208, 66.74, 93976536, 1.3486, 26.33,0,0,0,0,0,0,0,0,0
20,SATASSD,512MB,114.637,921.46,232.31,837.26,211.08,15808.4,130.52,289.96,127.47,283.18,2450.9,0,0,0,0,0,0,23,0,1000M,124928.0,233199309,1430,10282820,0, 50488392, 0.9407, 74.24, 44042839, 0.9331, 5.98, 121386491, 0.9660, 32.22, 15700193, 1.4804, 78.04,0,0,0,0,0,0,0,0,0
20,SATASSD,64MB,115.43,1069.51,179.42,984.82,165.21,56000.4,4.94,48.83,5.71,56.44,41.5,153,153,0,0,0,59,2323,0,1000M,124928.0,270102934,2364,10355098,0, 74837386, 1.4619, 48.05, 50482108, 1.0351, 10.55, 36998276, 1.5175, 89.63, 96278413, 11.0249, 37.11, 8172101, 2.6436, 475.57,0,0,0,0,0,0
4,SATASSD,128MB,115.296,999.34,213.21,920.92,196.48,15097.9,137.32,234.59,135.22,231.01,1914.3,10,10,0,0,0,755,132,0,1000M,124928.0,253945043,1939,10534016,0, 61649847, 1.0457, 57.22, 51339377, 0.9184, 2.56, 68647673, 1.0635, 49.11, 71977533, 1.0893, 15.74,0,0,0,0,0,0,0,0,0
4,SATASSD,512MB,114.637,916.46,239.01,832.19,217.03,9025.8,92.19,289.28,90.98,285.46,962.1,0,0,0,0,0,0,0,0,1000M,124928.0,230301448,1551,10494432,0, 48675160, 0.9129, 36.50, 47852143, 0.8995, 4.65, 116213090, 0.9166, 31.32, 17053751, 1.3401, 11.24,0,0,0,0,0,0,0,0,0
4,SATASSD,64MB,115.43,1141.39,179.37,1064.46,167.28,21056.5,98.94,196.33,97.7,193.88,1610.9,675,484,0,0,0,2713,584,0,1000M,124928.0,291151960,1595,10304148,0, 65429680, 1.0782, 54.30, 54363038, 0.9926, 13.83, 80344527, 1.1168, 49.88, 90675918, 1.1266, 44.61,0,0,0,0,0,0,0,0,0
